id,sim_time,error
0,0.0,10.65
1,0.0,10.65
2,0.05168318748474121,10.65
3,0.05168318748474121,10.65
4,0.10523509979248047,10.64
5,0.10523509979248047,10.64
6,0.16092705726623535,10.64
7,0.16092705726623535,10.64
8,0.21241402626037598,10.65
9,0.21241402626037598,10.65
10,0.2630882263183594,10.64
11,0.2630882263183594,10.64
12,0.3139932155609131,10.64
13,0.3139932155609131,10.64
14,0.3642280101776123,10.64
15,0.3642280101776123,10.64
16,0.41530513763427734,10.65
17,0.41530513763427734,10.64
18,0.46613502502441406,10.63
19,0.530081033706665,10.65
20,0.5842950344085693,10.64
21,0.5842950344085693,10.64
22,0.6372561454772949,10.64
23,0.6372561454772949,10.65
24,0.6882050037384033,10.63
25,0.6882050037384033,10.63
26,0.740307092666626,10.63
27,0.740307092666626,10.63
28,0.7907810211181641,10.64
29,0.7907810211181641,10.64
30,0.8456480503082275,10.64
31,0.8967761993408203,10.65
32,0.948883056640625,10.65
33,1.0003712177276611,10.65
34,1.0510220527648926,10.65
35,1.0510220527648926,10.65
36,1.1015992164611816,10.65
37,1.1015992164611816,10.65
38,1.1523871421813965,10.65
39,1.1523871421813965,10.65
40,1.2122712135314941,10.65
41,1.2122712135314941,10.64
42,1.263808012008667,10.64
43,1.263808012008667,10.63
44,1.3152592182159424,10.63
45,1.3662800788879395,10.63
46,1.3662800788879395,10.63
47,1.4198131561279297,10.63
48,1.4198131561279297,10.65
49,1.4753220081329346,10.64
50,1.4753220081329346,10.64
51,1.5276250839233398,10.65
52,1.5276250839233398,10.65
53,1.581024169921875,10.65
54,1.581024169921875,10.65
55,1.6316430568695068,10.64
56,1.68402099609375,10.64
57,1.68402099609375,10.65
58,1.7365221977233887,10.65
59,1.7365221977233887,10.65
60,1.787337064743042,10.65
61,1.787337064743042,10.62
62,1.8382411003112793,10.64
63,1.8897850513458252,10.65
64,1.8897850513458252,10.65
65,1.9413561820983887,10.65
66,1.9413561820983887,10.65
67,1.9955761432647705,10.65
68,1.9955761432647705,10.65
69,2.0457351207733154,10.64
70,2.0457351207733154,10.64
71,2.0965311527252197,10.63
72,2.0965311527252197,10.63
73,2.1523020267486572,10.64
74,2.1523020267486572,10.64
75,2.204991102218628,10.64
76,2.204991102218628,10.64
77,2.2642221450805664,10.64
78,2.2642221450805664,10.64
79,2.390029191970825,10.63
80,2.4541070461273193,10.64
81,2.4541070461273193,10.64
82,2.505934000015259,10.64
83,2.556873083114624,10.64
84,2.6723201274871826,10.65
85,2.7248740196228027,10.64
86,2.7248740196228027,10.64
87,2.7820160388946533,10.64
88,2.8332951068878174,10.64
89,2.8332951068878174,10.64
