id,sim_time,y
0,0.0,10.63
1,0.0,10.63
2,0.11066412925720215,10.63
3,0.1613461971282959,10.63
4,0.2161540985107422,10.65
5,0.2161540985107422,10.65
6,0.2673630714416504,10.65
7,0.3204691410064697,10.64
8,0.37358808517456055,10.65
9,0.37358808517456055,10.65
10,0.42449498176574707,10.65
11,0.42449498176574707,10.65
12,0.4786651134490967,10.64
13,0.5293581485748291,10.64
14,0.5293581485748291,10.64
15,0.5803101062774658,10.65
16,0.5803101062774658,10.65
17,0.6363551616668701,10.65
18,0.6363551616668701,10.65
19,0.6868469715118408,10.65
20,0.6868469715118408,10.65
21,0.7382981777191162,10.64
22,0.7382981777191162,10.64
23,0.792370080947876,10.64
24,0.792370080947876,10.64
25,0.8462851047515869,10.64
26,0.8993580341339111,10.64
27,0.9510440826416016,10.64
28,1.0029761791229248,10.63
29,1.0029761791229248,10.63
30,1.0550479888916016,10.63
31,1.0550479888916016,10.64
32,1.1072139739990234,10.64
33,1.1609220504760742,10.64
34,1.1609220504760742,10.64
35,1.2145969867706299,10.64
36,1.2145969867706299,10.64
37,1.2654809951782227,10.64
38,1.2654809951782227,10.63
39,1.3160090446472168,10.63
40,1.3160090446472168,10.63
41,1.4124929904937744,10.65
42,1.4124929904937744,10.65
43,1.463860034942627,10.64
44,1.463860034942627,10.61
45,1.5280630588531494,10.64
46,1.5280630588531494,10.64
47,1.5920820236206055,10.63
48,1.5920820236206055,10.63
49,1.6424760818481445,10.63
50,1.6424760818481445,10.63
51,1.7891480922698975,10.63
52,1.7891480922698975,10.63
53,1.8453810214996338,10.63
54,1.8453810214996338,10.63
55,1.8983221054077148,10.63
56,1.8983221054077148,10.63
57,1.949429988861084,10.62
58,1.949429988861084,10.63
59,2.0750210285186768,10.63
60,2.130531072616577,10.63
61,2.1810410022735596,10.63
62,2.1810410022735596,10.63
63,2.2421910762786865,10.63
64,2.2421910762786865,10.62
65,2.3690860271453857,10.64
66,2.3690860271453857,10.64
67,2.420595169067383,10.64
68,2.507169008255005,10.65
69,2.6133410930633545,10.63
70,2.6658010482788086,10.63
71,2.6658010482788086,10.63
72,2.734945058822632,10.65
73,2.734945058822632,10.65
74,2.7860841751098633,10.63
75,2.7860841751098633,10.63
76,2.8658061027526855,10.63
77,2.8658061027526855,10.64
78,2.9255940914154053,10.64
79,2.9255940914154053,10.62
80,2.982668161392212,10.62
81,2.982668161392212,10.62
82,3.0348711013793945,10.62
83,3.0348711013793945,10.62
84,3.0974090099334717,10.62
85,3.1483240127563477,10.64
86,3.199392080307007,10.63
87,3.4011220932006836,10.64
88,3.451456069946289,10.64
89,3.451456069946289,9.64
90,3.5030531883239746,9.5
91,3.5030531883239746,9.5
92,3.5551860332489014,9.5
93,3.5551860332489014,9.46
94,3.6055431365966797,9.46
95,3.6819941997528076,9.46
96,3.6819941997528076,9.46
97,3.738554000854492,9.16
98,3.738554000854492,9.16
99,3.790363073348999,9.14
100,3.85037899017334,9.16
101,3.9077811241149902,9.08
102,3.9604380130767822,9.0
103,3.9604380130767822,9.0
104,4.022397994995117,9.0
105,4.073057174682617,8.83
106,4.125301122665405,8.76
107,4.125301122665405,8.76
108,4.178630113601685,8.74
109,4.178630113601685,8.73
110,4.247023105621338,8.73
111,4.302726984024048,8.98
112,4.4081361293792725,8.97
113,4.460424184799194,8.97
114,4.5127410888671875,8.66
115,4.580993175506592,8.78
116,4.580993175506592,8.78
117,4.631035089492798,8.78
118,4.700227975845337,8.78
119,4.764317989349365,8.78
120,4.816348075866699,8.78
121,4.867518186569214,4.93
122,4.921521186828613,5.46
123,4.9740471839904785,5.76
124,4.9740471839904785,5.76
125,5.027815103530884,5.76
126,5.093979120254517,5.76
127,5.1465229988098145,5.94
128,5.199159145355225,5.94
129,5.199159145355225,6.0
130,5.2613770961761475,6.0
131,5.2613770961761475,6.0
132,5.39326810836792,6.54
133,5.443592071533203,6.54
134,5.443592071533203,6.54
135,5.550120115280151,6.54
136,5.550120115280151,34.87
137,5.608826160430908,34.87
138,5.608826160430908,34.87
139,5.666269063949585,34.87
140,5.666269063949585,34.52
141,5.7185070514678955,34.99
142,5.7185070514678955,34.99
143,5.786929130554199,35.01
144,5.898250102996826,36.14
145,5.963252067565918,36.48
146,6.014064073562622,36.48
147,6.106353998184204,36.48
148,6.106353998184204,36.48
149,6.1624109745025635,36.48
150,6.248274087905884,37.56
151,6.3269171714782715,37.56
152,6.456765174865723,37.56
153,6.623727083206177,37.44
154,6.674820184707642,37.44
155,6.725994110107422,37.44
156,6.7767040729522705,37.91
157,6.830909013748169,37.91
158,6.885773181915283,37.86
159,6.9966771602630615,38.21
160,7.308720111846924,37.23
161,7.360821008682251,37.23
162,7.417733192443848,36.96
163,7.477301120758057,36.96
164,7.538002014160156,36.73
165,7.715283155441284,36.64
166,7.773898124694824,36.59
167,7.826135158538818,36.47
168,7.878616094589233,36.47
169,7.934213161468506,36.29
170,7.934213161468506,37.41
171,8.105782985687256,37.24
172,8.17347502708435,37.08
173,8.17347502708435,37.08
174,8.228155136108398,37.08
175,8.429565191268921,37.08
176,8.481008052825928,37.16
177,8.481008052825928,37.16
178,8.532616138458252,37.16
179,8.584482192993164,37.46
180,8.646090984344482,37.46
181,8.646090984344482,37.46
182,8.700080156326294,37.46
183,8.700080156326294,40.49
184,8.769049167633057,41.44
185,8.769049167633057,41.44
186,8.822234153747559,41.78
187,8.822234153747559,41.78
188,8.881152153015137,41.78
189,8.881152153015137,41.78
190,8.946484088897705,41.58
191,8.997856140136719,41.33
192,8.997856140136719,41.33
193,9.049118995666504,41.33
194,9.049118995666504,41.33
195,9.09994912147522,42.12
196,9.09994912147522,42.12
197,9.151928186416626,41.25
198,9.151928186416626,41.25
199,9.204764127731323,41.34
200,9.204764127731323,41.34
201,9.25603699684143,41.38
202,9.25603699684143,41.38
203,9.314212083816528,41.38
204,9.314212083816528,41.92
205,9.366486072540283,41.97
206,9.366486072540283,41.74
207,9.418277025222778,41.0
208,9.418277025222778,41.0
209,9.4688880443573,41.0
210,9.4688880443573,41.0
211,9.549162149429321,41.0
212,9.549162149429321,41.0
213,9.658595085144043,41.5
214,9.710338115692139,41.0
215,9.710338115692139,40.98
216,9.761423110961914,40.92
217,9.814620971679688,40.58
218,9.814620971679688,40.58
219,9.865931034088135,40.58
220,9.865931034088135,40.58
