id,sim_time,error
0,0.0,1.75
1,0.0,1.74
2,0.05009913444519043,1.74
3,0.05009913444519043,1.74
4,0.10159707069396973,1.73
5,0.10159707069396973,1.74
6,0.15412497520446777,1.74
7,0.15412497520446777,1.74
8,0.20595002174377441,1.74
9,0.20595002174377441,1.74
10,0.26074910163879395,1.73
11,0.26074910163879395,1.73
12,0.3124721050262451,1.75
13,0.3124721050262451,1.75
14,0.36526012420654297,1.73
15,0.36526012420654297,1.73
16,0.4158780574798584,1.75
17,0.4158780574798584,1.73
18,0.46628904342651367,1.73
19,0.46628904342651367,1.73
20,0.5182480812072754,1.75
21,0.5182480812072754,1.73
22,0.5767190456390381,1.75
23,0.5767190456390381,1.75
24,0.6318681240081787,1.74
25,0.6318681240081787,1.74
26,0.7269060611724854,1.74
27,0.7774090766906738,1.74
28,0.8402550220489502,1.74
29,0.8932631015777588,1.73
30,0.8932631015777588,1.74
31,0.9444689750671387,1.74
32,0.9444689750671387,1.74
33,0.9948160648345947,1.73
34,0.9948160648345947,1.73
35,1.0494539737701416,1.73
36,1.0494539737701416,1.73
37,1.1048519611358643,1.73
38,1.1048519611358643,1.73
39,1.1563169956207275,1.74
40,1.1563169956207275,1.74
41,1.2075519561767578,1.73
42,1.2075519561767578,1.74
43,1.2590141296386719,1.72
44,1.2590141296386719,1.72
45,1.3145010471343994,1.73
46,1.3145010471343994,1.73
47,1.3665509223937988,1.74
48,1.3665509223937988,1.73
49,1.421410083770752,1.73
50,1.421410083770752,1.74
51,1.4980831146240234,1.74
52,1.4980831146240234,1.74
53,1.5535471439361572,1.72
54,1.5535471439361572,1.72
55,1.611915111541748,1.73
56,1.611915111541748,1.73
57,1.6621789932250977,1.74
58,1.6621789932250977,1.74
59,1.714587926864624,1.74
60,1.714587926864624,1.74
61,1.7708830833435059,1.74
62,1.7708830833435059,1.74
63,1.8214211463928223,1.74
64,1.8214211463928223,1.72
65,1.8817470073699951,1.75
66,1.9324500560760498,1.75
67,1.984166145324707,1.74
68,1.984166145324707,1.74
69,2.044076919555664,1.74
70,2.044076919555664,1.74
71,2.0969231128692627,1.74
72,2.0969231128692627,1.73
73,2.1472580432891846,1.74
74,2.1472580432891846,1.74
75,2.216705083847046,1.74
76,2.216705083847046,1.74
77,2.267585039138794,1.71
78,2.267585039138794,1.75
79,2.3220019340515137,1.72
80,2.3748950958251953,1.74
81,2.426600933074951,1.74
82,2.426600933074951,1.74
83,2.4909369945526123,1.72
84,2.4909369945526123,1.74
85,2.5421900749206543,1.74
86,2.5421900749206543,1.74
87,2.5953879356384277,1.72
88,2.645487070083618,1.72
89,2.645487070083618,1.72
90,2.736743927001953,1.73
91,2.736743927001953,1.73
92,2.7885680198669434,1.73
93,2.7885680198669434,1.73
94,2.8436949253082275,1.74
95,2.8436949253082275,1.7
96,2.9140589237213135,1.71
97,2.9140589237213135,1.7
98,2.965095043182373,1.74
99,2.965095043182373,1.74
100,3.015411138534546,1.74
101,3.015411138534546,1.72
102,3.0777840614318848,1.74
103,3.0777840614318848,1.71
104,3.132326126098633,1.72
105,3.132326126098633,1.74
106,3.186566114425659,1.74
107,3.186566114425659,1.74
108,3.238882064819336,1.74
109,3.238882064819336,1.73
110,3.289921998977661,1.73
111,3.289921998977661,1.73
112,3.344144105911255,1.72
113,3.344144105911255,1.72
114,3.396451950073242,1.73
115,3.396451950073242,1.73
116,3.4522831439971924,1.72
117,3.4522831439971924,1.72
118,3.50256609916687,1.73
119,3.50256609916687,1.73
120,3.554340124130249,1.7
121,3.605591058731079,1.74
122,3.656136989593506,1.74
123,3.656136989593506,1.74
124,3.7081539630889893,1.71
125,3.7081539630889893,1.72
126,3.7740020751953125,1.72
127,3.7740020751953125,1.72
128,3.825446128845215,1.72
129,3.825446128845215,1.72
130,3.8898301124572754,1.73
131,3.8898301124572754,1.74
132,3.9429609775543213,1.74
133,3.9940481185913086,1.74
134,4.047493934631348,1.73
135,4.047493934631348,1.73
136,4.102488040924072,1.76
137,4.102488040924072,1.73
138,4.166800022125244,1.73
139,4.166800022125244,1.73
140,4.219449996948242,1.73
141,4.271384000778198,1.74
142,4.271384000778198,1.74
143,4.327746152877808,1.73
144,4.327746152877808,1.73
145,4.378667116165161,1.73
146,4.378667116165161,1.73
147,4.433089971542358,1.73
148,4.485772132873535,1.72
149,4.485772132873535,1.72
150,4.5372679233551025,1.72
151,4.5372679233551025,1.72
152,4.588395118713379,1.73
153,4.588395118713379,1.73
154,4.640326023101807,1.73
155,4.640326023101807,1.73
156,4.694355010986328,1.73
157,4.694355010986328,1.73
158,4.747085094451904,1.73
159,4.747085094451904,1.73
160,4.79832911491394,1.73
161,4.79832911491394,1.73
162,4.8489580154418945,1.73
163,4.907714128494263,1.73
164,4.907714128494263,1.74
165,4.95894193649292,1.73
166,4.95894193649292,1.73
167,5.0134100914001465,1.74
168,5.0134100914001465,1.74
169,5.064450025558472,1.73
170,5.064450025558472,1.73
171,5.1283299922943115,1.74
172,5.1283299922943115,1.73
173,5.186110019683838,1.73
174,5.186110019683838,1.72
175,5.23727011680603,1.74
176,5.23727011680603,1.74
177,5.301216125488281,1.72
178,5.301216125488281,1.72
179,5.354762077331543,1.73
180,5.354762077331543,1.73
181,5.406090021133423,1.74
182,5.406090021133423,1.74
183,5.46766209602356,1.72
184,5.46766209602356,1.72
185,5.520956993103027,1.72
186,5.574331998825073,1.73
187,5.630717039108276,1.74
188,5.630717039108276,1.74
189,5.690186023712158,1.73
190,5.690186023712158,1.74
191,5.741652965545654,1.74
192,5.741652965545654,1.72
193,5.792176008224487,1.73
194,5.792176008224487,1.73
195,5.847254991531372,1.72
196,5.847254991531372,1.72
197,5.8993821144104,1.74
198,5.8993821144104,1.72
199,5.956505060195923,1.72
200,5.956505060195923,1.72
201,6.007703065872192,1.72
202,6.0627429485321045,1.72
203,6.0627429485321045,1.72
204,6.113816022872925,2.47
205,6.113816022872925,2.48
206,6.174936056137085,2.78
207,6.174936056137085,3.18
208,6.226671934127808,3.18
209,6.226671934127808,3.18
210,6.291423082351685,4.56
211,6.291423082351685,4.56
212,6.3430259227752686,4.38
213,6.3430259227752686,4.38
