id,sim_time,error
0,0.0,1.56
1,0.05269289016723633,1.56
2,0.10387587547302246,1.56
3,0.10387587547302246,1.56
4,0.15867090225219727,1.55
5,0.15867090225219727,1.56
6,0.2123270034790039,1.54
7,0.3483898639678955,1.57
8,0.3483898639678955,1.56
9,0.47868990898132324,1.56
10,0.47868990898132324,1.56
11,0.5368618965148926,1.54
12,0.6069400310516357,1.54
13,0.6069400310516357,1.55
14,0.8264460563659668,1.55
15,0.8264460563659668,1.53
16,1.2707128524780273,1.55
17,1.2707128524780273,1.57
18,1.4332318305969238,1.57
19,1.4332318305969238,1.58
20,1.5570669174194336,1.6
21,1.5570669174194336,1.59
22,1.7454149723052979,1.59
23,1.7454149723052979,1.62
24,1.8015198707580566,1.6
25,1.8015198707580566,1.59
26,1.8563709259033203,1.61
27,1.8563709259033203,1.61
28,1.9205868244171143,1.61
29,1.9205868244171143,1.62
30,1.9749829769134521,1.63
31,2.02559494972229,1.62
32,2.076093912124634,1.62
33,2.076093912124634,1.59
34,2.127290964126587,1.61
35,2.127290964126587,1.61
36,2.1778860092163086,1.6
37,2.1778860092163086,1.6
38,2.2411630153656006,1.6
39,2.2411630153656006,1.61
40,2.2932848930358887,1.59
41,2.2932848930358887,1.59
42,2.344959020614624,1.59
43,2.344959020614624,1.59
44,2.3983819484710693,1.59
45,2.3983819484710693,1.59
46,2.450666904449463,1.59
47,2.450666904449463,1.6
48,2.5018999576568604,1.59
49,2.5018999576568604,1.59
50,2.5573740005493164,1.59
51,2.5573740005493164,1.59
52,2.6164638996124268,1.59
53,2.6674368381500244,1.59
54,2.6674368381500244,1.59
55,2.7180428504943848,1.59
56,2.7818539142608643,1.6
57,2.7818539142608643,1.6
58,2.833824872970581,1.59
59,2.8845629692077637,1.61
60,2.8845629692077637,1.6
61,2.9354119300842285,1.59
62,2.9354119300842285,1.59
63,2.992008924484253,1.6
64,2.992008924484253,1.59
65,3.0453200340270996,1.59
66,3.0453200340270996,1.59
67,3.097553014755249,1.61
68,3.097553014755249,1.6
69,3.285172939300537,1.59
70,3.285172939300537,1.56
71,3.337730884552002,1.57
72,3.39182186126709,1.58
73,3.39182186126709,1.58
74,3.4444308280944824,1.57
75,3.4444308280944824,1.57
76,3.496795892715454,1.57
77,3.496795892715454,1.56
78,3.546954870223999,1.57
79,3.546954870223999,1.57
80,3.5995209217071533,1.57
81,3.5995209217071533,1.58
82,3.6505868434906006,1.58
83,3.702517032623291,1.58
84,3.702517032623291,1.56
85,3.752607822418213,1.56
86,3.752607822418213,1.57
87,3.803457021713257,1.58
88,3.803457021713257,1.57
89,3.855912923812866,1.58
90,3.855912923812866,1.57
91,3.907080888748169,1.57
92,4.046649932861328,2.49
93,4.16202187538147,3.66
94,4.213328838348389,3.66
95,4.27007794380188,7.38
96,4.27007794380188,7.82
97,4.321099042892456,5.81
98,4.3718390464782715,5.77
99,4.4234678745269775,7.04
100,4.4234678745269775,7.04
101,4.475860834121704,9.64
102,4.526962995529175,10.07
103,4.578866958618164,11.29
104,4.578866958618164,9.8
105,4.637470960617065,9.38
106,4.688101053237915,5.76
107,4.746160984039307,5.19
108,4.8600850105285645,4.69
109,4.966570854187012,6.43
110,4.966570854187012,6.31
111,5.018462896347046,2.86
112,5.018462896347046,2.74
113,5.074832916259766,2.74
114,5.074832916259766,7.75
115,5.127143859863281,6.56
116,5.127143859863281,7.61
117,5.18184494972229,6.83
118,5.233564853668213,6.56
119,5.2835798263549805,6.99
120,5.2835798263549805,4.02
121,5.334594011306763,4.02
122,5.334594011306763,3.53
123,5.385655879974365,3.98
124,5.385655879974365,3.98
125,5.438460826873779,3.74
126,5.438460826873779,3.74
127,5.492884874343872,6.3
128,5.492884874343872,6.65
129,5.547091007232666,6.26
130,5.547091007232666,6.55
131,5.6002418994903564,5.84
132,5.651447057723999,7.22
133,5.651447057723999,6.87
134,5.719697952270508,6.64
135,5.719697952270508,6.64
136,5.778063058853149,5.54
137,5.778063058853149,5.54
138,5.831223964691162,5.23
139,5.831223964691162,5.23
140,5.887115955352783,5.91
141,5.887115955352783,3.7
142,5.941620826721191,3.83
143,5.941620826721191,3.83
144,5.993510961532593,3.77
145,5.993510961532593,3.77
146,6.046931982040405,3.95
147,6.104404926300049,4.13
148,6.1562659740448,4.13
149,6.210403919219971,4.15
150,6.210403919219971,4.33
151,6.260808944702148,4.31
152,6.260808944702148,4.22
153,6.313333034515381,4.34
154,6.313333034515381,5.12
155,6.373260021209717,4.87
156,6.373260021209717,5.47
157,6.425705909729004,5.77
158,6.425705909729004,5.77
159,6.476035833358765,6.04
160,6.476035833358765,4.97
161,6.528643846511841,5.15
162,6.528643846511841,5.15
163,6.579758882522583,5.36
164,6.579758882522583,5.36
165,6.630650997161865,5.8
166,6.630650997161865,5.8
167,6.681053876876831,6.95
168,6.681053876876831,7.19
169,6.732372045516968,7.19
170,6.732372045516968,7.19
171,6.7834999561309814,6.45
172,6.7834999561309814,6.45
173,6.885828018188477,7.44
174,6.936575889587402,7.55
175,6.936575889587402,7.58
176,6.98841404914856,7.69
177,7.0417799949646,7.77
178,7.100376844406128,8.13
179,7.150500059127808,8.45
180,7.150500059127808,8.45
181,7.2038679122924805,8.92
182,7.254678010940552,8.99
183,7.3050010204315186,9.85
184,7.3050010204315186,9.85
185,7.356992959976196,10.01
186,7.356992959976196,10.01
187,7.410284042358398,10.26
188,7.461633920669556,10.68
189,7.461633920669556,10.68
190,7.513216018676758,10.9
191,7.513216018676758,10.84
192,7.567177057266235,10.84
193,7.567177057266235,11.25
194,7.6177990436553955,11.25
195,7.670152902603149,11.11
196,7.720196008682251,11.39
197,7.7709949016571045,11.85
198,7.7709949016571045,11.95
199,7.822381019592285,11.88
200,7.822381019592285,12.02
201,7.876752853393555,12.06
202,7.876752853393555,13.25
203,7.930066823959351,13.15
204,7.982000827789307,13.15
205,7.982000827789307,12.46
206,8.042333841323853,12.67
207,8.042333841323853,12.67
208,8.096359968185425,12.72
209,8.096359968185425,13.88
210,8.1529860496521,14.11
211,8.1529860496521,14.03
212,8.207846879959106,14.03
213,8.26188588142395,13.09
214,8.26188588142395,13.09
215,8.322351932525635,13.24
216,8.399026870727539,13.58
217,8.399026870727539,14.74
218,8.510104894638062,15.4
219,8.56214690208435,14.71
220,8.614073038101196,14.67
221,8.614073038101196,14.66
222,8.831151962280273,16.2
223,8.883909940719604,16.7
224,8.883909940719604,16.06
225,8.959583044052124,16.24
226,9.061095952987671,16.36
227,9.111117839813232,21.45
228,9.223958015441895,17.87
229,9.223958015441895,17.97
230,9.33313798904419,18.56
231,9.387994050979614,19.17
232,9.387994050979614,19.17
233,9.492554903030396,19.24
234,9.492554903030396,19.24
235,9.542763948440552,19.2
236,9.594584941864014,19.77
237,9.594584941864014,20.1
238,9.645057916641235,20.1
239,9.697505950927734,20.23
240,9.697505950927734,19.43
241,9.747812032699585,19.66
242,9.747812032699585,19.66
243,9.802392959594727,19.66
244,9.855608940124512,19.83
245,9.966765880584717,20.03
246,9.966765880584717,20.03
247,10.019654989242554,20.03
248,10.019654989242554,20.03
249,10.073043823242188,20.03
250,10.232969045639038,21.28
251,10.298003911972046,21.44
252,10.298003911972046,21.44
253,10.351161003112793,22.22
254,10.411598920822144,22.31
255,10.53306794166565,22.86
256,10.610367059707642,21.95
257,10.66216492652893,22.07
258,10.748533010482788,22.07
259,10.748533010482788,22.19
260,10.800307035446167,22.24
261,10.862918853759766,22.36
262,10.862918853759766,22.54
263,10.913563966751099,22.69
264,10.913563966751099,22.91
265,10.966274976730347,23.02
266,10.966274976730347,22.98
267,11.017324924468994,23.27
268,11.017324924468994,23.3
269,11.070626020431519,23.41
270,11.123350858688354,23.5
271,11.18910002708435,23.88
272,11.24303388595581,24.57
273,11.297981977462769,24.69
274,11.297981977462769,24.72
275,11.375587940216064,25.17
276,11.375587940216064,25.25
277,11.42596697807312,25.33
278,11.42596697807312,25.33
279,11.480660915374756,25.56
280,11.53908085823059,25.52
281,11.66971492767334,26.46
282,11.728868007659912,26.66
283,11.728868007659912,26.51
284,11.836166858673096,26.97
285,11.836166858673096,26.97
286,11.896782875061035,27.07
287,11.9531569480896,27.42
288,12.137289047241211,23.65
289,12.189267873764038,25.94
290,12.189267873764038,31.44
291,12.247750997543335,31.44
292,12.247750997543335,31.44
293,12.298938989639282,31.66
294,12.351539850234985,31.75
295,12.403321027755737,32.32
296,12.403321027755737,32.46
297,12.534276962280273,32.97
298,12.534276962280273,33.43
299,12.58547592163086,33.45
300,12.715981006622314,34.7
301,12.803967952728271,34.67
302,12.803967952728271,34.13
303,12.858183860778809,34.42
304,12.858183860778809,34.42
305,12.92017388343811,34.42
306,12.92017388343811,34.47
307,12.978432893753052,35.46
308,13.03200387954712,35.24
309,13.03200387954712,35.24
310,13.095595836639404,35.54
311,13.14626693725586,35.54
312,13.14626693725586,35.54
313,13.196984052658081,40.6
314,13.196984052658081,35.66
315,13.248004913330078,35.66
316,13.248004913330078,35.87
317,13.299938917160034,36.31
318,13.299938917160034,36.14
319,13.352684020996094,36.08
320,13.422508001327515,36.1
321,13.422508001327515,36.23
322,13.476701974868774,36.53
323,13.529757976531982,37.0
324,13.529757976531982,37.3
325,13.59857988357544,37.59
326,13.649139881134033,37.65
327,13.704531908035278,37.71
328,13.704531908035278,37.01
329,13.755107879638672,37.0
330,13.813480854034424,37.0
331,13.813480854034424,36.76
332,13.867984056472778,36.67
333,13.867984056472778,36.67
334,13.918396949768066,37.06
335,13.918396949768066,37.55
336,13.984277963638306,38.41
337,14.079925060272217,40.67
338,14.079925060272217,40.12
339,14.14798092842102,40.12
340,14.201719045639038,40.12
341,14.201719045639038,39.22
342,14.256605863571167,38.72
343,14.256605863571167,38.72
344,14.31629991531372,38.19
345,14.31629991531372,38.19
346,14.372082948684692,39.7
347,14.429208993911743,39.7
348,14.481722831726074,40.04
349,14.536710023880005,34.47
350,14.536710023880005,39.76
351,14.601011037826538,36.96
352,14.601011037826538,36.96
353,14.667057037353516,37.32
354,14.718325853347778,39.76
355,14.774871826171875,40.44
356,14.774871826171875,40.44
357,14.826671838760376,40.18
358,14.826671838760376,40.18
359,14.90325403213501,39.96
360,14.90325403213501,36.55
361,14.965632915496826,36.66
362,14.965632915496826,36.66
363,15.024029970169067,35.79
364,15.024029970169067,38.42
365,15.07469892501831,38.42
366,15.07469892501831,38.34
367,15.130810976028442,38.34
368,15.130810976028442,32.95
369,15.196533918380737,32.95
370,15.246840953826904,38.22
371,15.246840953826904,38.22
372,15.3003568649292,38.22
373,15.3003568649292,33.01
374,15.360797882080078,37.69
375,15.360797882080078,37.69
376,15.41146993637085,38.69
377,15.463093996047974,38.69
378,15.525805950164795,37.43
379,15.577330827713013,38.04
380,15.577330827713013,32.34
381,15.645705938339233,33.3
382,15.705572843551636,33.07
383,15.705572843551636,38.71
384,15.771601915359497,38.52
385,15.836432933807373,38.22
386,15.919309854507446,38.22
387,15.919309854507446,31.73
388,15.982585906982422,38.74
389,15.982585906982422,39.33
390,16.033171892166138,39.33
391,16.15365505218506,38.35
392,16.205365896224976,37.17
393,16.205365896224976,36.48
394,16.25657296180725,36.34
395,16.25657296180725,36.34
396,16.308405876159668,35.83
397,16.308405876159668,37.27
398,16.42405605316162,36.76
399,16.42405605316162,36.47
400,16.476062059402466,36.47
401,16.476062059402466,36.47
402,16.52763295173645,34.51
403,16.52763295173645,28.42
404,16.57913088798523,35.98
405,16.6703360080719,29.89
406,16.6703360080719,29.89
407,16.724776029586792,37.05
408,16.724776029586792,35.11
409,16.7763249874115,35.11
410,16.838388919830322,27.15
