id,sim_time,y
0,0.0,1.74
1,0.0,7.37
2,0.05150198936462402,7.37
3,0.05150198936462402,7.35
4,0.10400104522705078,7.35
5,0.10400104522705078,7.35
6,0.1586930751800537,7.47
7,0.1586930751800537,7.38
8,0.2097930908203125,7.42
9,0.2097930908203125,7.41
10,0.2607579231262207,7.9
11,0.3182380199432373,7.9
12,0.3182380199432373,7.9
13,0.3714749813079834,7.89
14,0.3714749813079834,7.87
15,0.4245901107788086,7.87
16,0.47529006004333496,8.11
17,0.47529006004333496,8.11
18,0.5261790752410889,8.11
19,0.5261790752410889,8.11
20,0.5791659355163574,8.11
21,0.5791659355163574,8.11
22,0.6310570240020752,8.15
23,0.6817169189453125,8.15
24,0.7356610298156738,8.17
25,0.7356610298156738,8.18
26,0.8882811069488525,8.57
27,0.8882811069488525,8.57
28,0.9425580501556396,8.57
29,0.9930341243743896,8.56
30,0.9930341243743896,8.51
31,1.047450065612793,8.51
32,1.0985538959503174,8.58
33,1.4601550102233887,10.06
34,1.5276470184326172,10.06
35,1.5787560939788818,10.08
36,1.6398041248321533,11.5
37,1.750540018081665,11.51
38,1.750540018081665,11.51
39,1.8110361099243164,11.54
40,1.8110361099243164,11.78
41,1.864928960800171,11.78
42,1.9185969829559326,11.77
43,1.9185969829559326,11.76
44,1.9807920455932617,11.76
45,1.9807920455932617,11.77
46,2.0331099033355713,11.75
47,2.0331099033355713,11.75
48,2.1153910160064697,11.7
49,2.1153910160064697,11.92
50,2.1668970584869385,11.9
51,2.221189022064209,12.26
52,2.2738869190216064,12.26
53,2.2738869190216064,12.26
54,2.3283510208129883,12.27
55,2.3283510208129883,12.27
56,2.378798007965088,12.27
57,2.378798007965088,12.32
58,2.430320978164673,12.31
59,2.4834399223327637,12.36
60,2.4834399223327637,12.79
61,2.5441479682922363,12.76
62,2.5441479682922363,12.76
63,2.6014480590820312,12.77
64,2.6516270637512207,12.8
65,2.7324600219726562,13.21
66,2.7324600219726562,13.21
67,2.7868010997772217,13.22
68,2.7868010997772217,13.22
69,2.8401551246643066,13.22
70,2.8401551246643066,13.22
71,2.918220043182373,13.25
72,2.918220043182373,13.25
73,2.974807024002075,13.29
74,2.974807024002075,13.29
75,3.0278561115264893,13.48
76,3.08455491065979,13.47
77,3.1770710945129395,13.47
78,3.1770710945129395,13.47
79,3.255635976791382,13.49
80,3.255635976791382,13.49
81,3.306001901626587,13.52
82,3.306001901626587,13.52
83,3.3574860095977783,13.52
84,3.3574860095977783,13.52
85,3.4079439640045166,13.47
86,3.4079439640045166,13.47
87,3.4580929279327393,13.47
88,3.4580929279327393,13.47
89,3.5112171173095703,13.5
90,3.5112171173095703,13.62
91,3.6018590927124023,13.59
92,3.6018590927124023,13.72
93,3.654721975326538,13.75
94,3.654721975326538,13.72
95,3.7306599617004395,13.75
96,3.7306599617004395,13.75
97,3.816854953765869,13.72
98,3.816854953765869,13.76
99,3.8706459999084473,13.79
100,3.8706459999084473,14.15
101,3.927129030227661,14.15
102,3.9876949787139893,13.66
103,4.051378965377808,13.66
104,4.109477996826172,11.55
105,4.256750106811523,10.31
106,4.256750106811523,10.31
107,4.3109071254730225,10.23
108,4.3109071254730225,10.23
109,4.363002061843872,10.23
110,4.421376943588257,10.14
111,4.421376943588257,10.14
112,4.527235984802246,8.55
113,4.527235984802246,8.55
114,4.588252067565918,8.55
115,4.588252067565918,9.8
116,4.641057014465332,9.92
117,4.641057014465332,10.84
118,4.695686101913452,11.42
119,4.695686101913452,10.22
120,4.747148036956787,10.89
121,4.747148036956787,10.89
122,4.802376985549927,10.59
123,4.855098009109497,10.59
124,4.855098009109497,10.13
125,4.906898021697998,11.44
