id,sim_time,y
0,0.0,1.76
1,0.0,1.76
2,8.81707501411438,5.25
3,8.81707501411438,5.25
4,8.872524976730347,3.74
5,8.872524976730347,3.74
6,8.922631978988647,4.14
7,8.922631978988647,4.14
8,8.973740100860596,3.64
9,8.973740100860596,3.95
10,9.033068895339966,3.19
11,9.033068895339966,3.0
12,9.086622953414917,3.64
13,9.137208938598633,3.62
14,9.137208938598633,3.62
15,9.19253396987915,3.25
16,9.24636697769165,3.24
17,9.24636697769165,3.24
18,9.296731948852539,3.58
19,9.296731948852539,3.52
20,9.360075950622559,3.52
21,9.360075950622559,3.41
22,9.414299011230469,2.73
23,9.414299011230469,3.47
24,9.466248035430908,2.57
25,9.466248035430908,2.57
26,9.51991605758667,3.07
27,9.51991605758667,2.91
28,9.57026195526123,3.24
29,9.57026195526123,3.24
30,9.622864007949829,3.18
31,9.698580980300903,3.18
32,9.698580980300903,3.13
33,9.75167202949524,3.29
34,9.75167202949524,3.32
35,9.804075002670288,3.51
36,9.804075002670288,3.51
37,9.856107950210571,3.48
38,9.856107950210571,3.28
39,9.911847114562988,3.34
40,9.911847114562988,3.47
41,9.963699102401733,3.73
42,9.963699102401733,3.65
43,10.04732894897461,3.85
44,10.04732894897461,3.91
45,10.116348028182983,4.45
46,10.116348028182983,4.45
47,10.16679310798645,4.96
48,10.16679310798645,4.96
49,10.21900200843811,4.96
50,10.21900200843811,4.96
51,10.270807981491089,5.51
52,10.270807981491089,5.78
53,10.323041915893555,6.04
54,10.323041915893555,6.04
55,10.387068033218384,6.48
56,10.387068033218384,6.48
57,10.438797950744629,6.71
58,10.438797950744629,6.82
59,10.490144968032837,7.23
60,10.490144968032837,7.23
61,10.566807985305786,6.97
62,10.566807985305786,7.01
63,10.616962909698486,7.23
64,10.616962909698486,7.31
65,10.670766115188599,7.77
66,10.670766115188599,10.66
67,10.728226900100708,7.98
68,10.728226900100708,8.08
69,10.78135895729065,8.18
70,10.78135895729065,8.15
71,10.837142944335938,8.26
72,10.837142944335938,8.69
73,10.902183055877686,9.91
74,10.902183055877686,9.91
75,10.953006982803345,10.47
76,10.953006982803345,10.47
77,11.065053939819336,10.47
78,11.065053939819336,10.83
79,11.115509986877441,10.83
80,11.115509986877441,10.83
81,11.16775107383728,11.17
82,11.16775107383728,11.29
83,11.219878911972046,11.84
84,11.270828008651733,12.05
85,11.270828008651733,12.05
86,11.324084997177124,12.17
87,11.324084997177124,12.27
88,11.37448501586914,12.42
89,11.434184074401855,12.6
90,11.434184074401855,12.92
91,11.484553098678589,13.24
92,11.484553098678589,13.24
93,11.5607430934906,13.55
94,11.5607430934906,13.55
95,11.614981889724731,14.08
96,11.614981889724731,14.08
97,11.676606893539429,14.39
98,11.676606893539429,13.98
99,11.727744102478027,14.21
100,11.727744102478027,14.21
101,11.828187942504883,14.6
102,11.828187942504883,16.95
103,11.888293981552124,16.95
104,11.888293981552124,17.27
105,11.954431056976318,17.27
106,11.954431056976318,18.35
107,12.006927013397217,18.35
108,12.006927013397217,17.77
109,12.061028003692627,18.13
110,12.061028003692627,18.13
111,12.11528992652893,18.78
112,12.11528992652893,18.78
113,12.200195074081421,19.07
114,12.200195074081421,18.66
115,12.254501104354858,18.67
116,12.310601949691772,18.94
117,12.310601949691772,19.16
118,12.364727973937988,19.48
119,12.418613910675049,19.48
120,12.418613910675049,19.48
121,12.468843936920166,19.78
122,12.468843936920166,19.78
123,12.564533948898315,20.15
124,12.564533948898315,20.15
125,12.624736070632935,20.78
126,12.624736070632935,20.78
127,12.676656007766724,20.88
128,12.676656007766724,21.16
129,12.729018926620483,21.16
130,12.729018926620483,21.16
131,12.780081987380981,21.32
132,12.780081987380981,21.32
133,12.83607006072998,21.55
134,12.83607006072998,22.18
135,12.887372016906738,22.18
136,12.887372016906738,22.6
137,12.994100093841553,22.72
138,12.994100093841553,22.98
139,13.045964002609253,23.32
140,13.045964002609253,23.41
141,13.098188877105713,23.41
142,13.098188877105713,23.51
143,13.165361881256104,23.15
144,13.165361881256104,23.15
145,13.217641115188599,23.09
146,13.217641115188599,23.09
147,13.268320083618164,23.8
148,13.268320083618164,23.8
149,13.321775913238525,23.98
150,13.321775913238525,23.98
151,13.39027190208435,23.39
152,13.39027190208435,23.39
153,13.44102692604065,23.89
154,13.44102692604065,23.89
155,13.527930974960327,24.22
156,13.527930974960327,24.22
157,13.586976051330566,24.22
158,13.586976051330566,23.9
159,13.649585008621216,24.23
160,13.649585008621216,24.12
161,13.704761028289795,24.62
162,13.756898880004883,24.87
163,13.756898880004883,24.87
164,13.812051057815552,24.6
165,13.812051057815552,24.82
166,13.865262985229492,24.76
167,13.91734504699707,24.68
168,13.967797994613647,24.84
