id,sim_time,y
0,0.0,1.15
1,0.053578853607177734,1.15
2,0.053578853607177734,1.13
3,0.10427284240722656,1.14
4,0.10427284240722656,1.14
5,0.15802884101867676,1.14
6,0.2155439853668213,1.34
7,0.2676069736480713,1.35
8,0.32945895195007324,1.34
9,0.32945895195007324,3.16
10,0.3939399719238281,3.16
11,0.4452970027923584,3.17
12,0.4452970027923584,3.16
13,0.49832987785339355,3.16
14,0.49832987785339355,3.16
15,0.5512490272521973,3.26
16,0.5512490272521973,3.26
17,0.6022689342498779,3.25
18,0.6528470516204834,4.56
19,0.7049579620361328,4.54
20,0.7049579620361328,4.54
21,0.7563738822937012,4.55
22,0.809330940246582,4.55
23,0.809330940246582,4.55
24,0.8601908683776855,4.96
25,0.8601908683776855,4.96
26,0.911038875579834,4.95
27,0.9621589183807373,4.98
28,1.0132198333740234,4.96
29,1.0132198333740234,5.14
30,1.092237949371338,5.15
31,1.092237949371338,5.15
32,1.14375901222229,5.15
33,1.14375901222229,6.57
34,1.1993379592895508,6.57
35,1.1993379592895508,6.58
36,1.2576038837432861,6.56
37,1.2576038837432861,6.56
38,1.3080189228057861,6.77
39,1.3080189228057861,6.76
40,1.3601269721984863,6.77
41,1.3601269721984863,6.77
42,1.411998987197876,6.78
43,1.411998987197876,6.78
44,1.4642250537872314,8.03
45,1.4642250537872314,8.03
46,1.5186679363250732,8.05
47,1.5186679363250732,8.05
48,1.5697009563446045,8.03
49,1.5697009563446045,8.03
50,1.6201529502868652,8.04
51,1.6201529502868652,8.93
52,1.6711368560791016,8.92
53,1.6711368560791016,8.92
54,1.723944902420044,8.93
55,1.7743849754333496,8.93
56,1.7743849754333496,8.93
57,1.8289709091186523,8.93
58,1.8289709091186523,8.93
59,1.8811750411987305,9.16
60,1.8811750411987305,9.16
61,1.931994915008545,9.16
62,1.931994915008545,10.28
63,1.9826278686523438,10.28
64,1.9826278686523438,10.31
65,2.033613920211792,10.3
66,2.033613920211792,10.3
67,2.0872719287872314,10.3
68,2.1386029720306396,10.92
69,2.1920549869537354,10.9
70,2.1920549869537354,10.9
71,2.2433018684387207,10.91
72,2.295881986618042,10.92
73,2.295881986618042,10.93
74,2.3493030071258545,10.93
75,2.4006290435791016,10.94
76,2.4006290435791016,10.94
77,2.4521799087524414,11.25
78,2.5071189403533936,12.42
79,2.5587830543518066,12.39
80,2.5587830543518066,12.39
81,2.6109800338745117,12.41
82,2.661829948425293,12.41
83,2.661829948425293,12.41
84,2.711974859237671,12.41
85,2.711974859237671,13.07
86,2.7687790393829346,13.06
87,2.7687790393829346,13.06
88,2.8204288482666016,13.05
89,2.8204288482666016,13.08
90,2.8742330074310303,13.08
91,2.8742330074310303,13.08
92,2.9248359203338623,13.09
93,2.9248359203338623,13.15
94,2.9789159297943115,13.14
95,2.9789159297943115,13.14
96,3.029374837875366,13.15
97,3.029374837875366,14.04
98,3.085114002227783,14.04
99,3.085114002227783,14.04
100,3.1365768909454346,14.05
101,3.1880500316619873,14.04
102,3.1880500316619873,14.06
103,3.2394158840179443,14.35
104,3.2394158840179443,14.35
105,3.291703939437866,14.36
106,3.291703939437866,14.35
107,3.3423469066619873,15.71
108,3.43109393119812,15.7
